epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
106,715.359,1.01215,1.06667,0.00132,0.46723,0.44569,0.51117,0.40106,0.82637,1.35752,0.00146,0.000834822,0.000834822,0.000834822
107,718.666,1.15936,1.31381,0.00143,0.46723,0.44569,0.51117,0.40106,0.82637,1.35752,0.00146,0.000829163,0.000829163,0.000829163
108,722.454,1.39145,1.40353,0.00193,0.45871,0.44258,0.51104,0.38318,0.92961,1.3791,0.00165,0.000823504,0.000823504,0.000823504
109,727.048,1.14856,1.06234,0.00141,0.45871,0.44258,0.51104,0.38318,0.92961,1.3791,0.00165,0.000817845,0.000817845,0.000817845
110,730.692,1.08239,1.23499,0.00159,0.46418,0.44687,0.50675,0.37964,0.91923,1.36804,0.00163,0.000812186,0.000812186,0.000812186
111,734.265,1.08952,1.11284,0.00148,0.46418,0.44687,0.50675,0.37964,0.91923,1.36804,0.00163,0.000806528,0.000806528,0.000806528
112,737.965,1.04256,0.98922,0.00134,0.45001,0.45981,0.49769,0.38897,0.78891,1.33386,0.00141,0.000800869,0.000800869,0.000800869
113,742.308,1.01649,1.23786,0.00142,0.45001,0.45981,0.49769,0.38897,0.78891,1.33386,0.00141,0.00079521,0.00079521,0.00079521
114,745.983,1.07589,1.11339,0.00125,0.49418,0.44223,0.49433,0.39502,0.74187,1.35581,0.00134,0.000789551,0.000789551,0.000789551
115,749.25,1.01327,1.22432,0.00135,0.49418,0.44223,0.49433,0.39502,0.74187,1.35581,0.00134,0.000783892,0.000783892,0.000783892
116,753.604,1.02606,1.19812,0.00139,0.48818,0.43288,0.48643,0.38364,0.76067,1.38602,0.00135,0.000778233,0.000778233,0.000778233
117,756.978,0.93473,1.11598,0.00128,0.48818,0.43288,0.48643,0.38364,0.76067,1.38602,0.00135,0.000772575,0.000772575,0.000772575
118,760.87,1.12051,0.99741,0.00123,0.51361,0.41444,0.49482,0.39014,0.80305,1.37365,0.00141,0.000766916,0.000766916,0.000766916
119,764.273,0.992,1.0349,0.00135,0.51361,0.41444,0.49482,0.39014,0.80305,1.37365,0.00141,0.000761257,0.000761257,0.000761257
120,768.865,1.08854,1.1539,0.00128,0.50531,0.41495,0.4964,0.39116,0.79531,1.35383,0.00138,0.000755598,0.000755598,0.000755598
121,772.163,1.00928,1.01712,0.00125,0.50531,0.41495,0.4964,0.39116,0.79531,1.35383,0.00138,0.000749939,0.000749939,0.000749939
122,775.555,0.95346,1.05585,0.00123,0.54791,0.40637,0.50146,0.39536,0.77581,1.3319,0.00137,0.00074428,0.00074428,0.00074428
123,779.5,0.89616,1.00315,0.00116,0.54791,0.40637,0.50146,0.39536,0.77581,1.3319,0.00137,0.000738622,0.000738622,0.000738622
124,783.345,0.90623,0.92243,0.00115,0.51513,0.44998,0.50811,0.39708,0.80958,1.3394,0.00138,0.000732963,0.000732963,0.000732963
125,787.16,0.89635,0.99576,0.00124,0.51513,0.44998,0.50811,0.39708,0.80958,1.3394,0.00138,0.000727304,0.000727304,0.000727304
126,791.211,1.1693,0.96236,0.00125,0.43862,0.48037,0.51315,0.40024,0.81314,1.36085,0.00135,0.000721645,0.000721645,0.000721645
127,795.564,0.94136,1.10259,0.00122,0.43862,0.48037,0.51315,0.40024,0.81314,1.36085,0.00135,0.000715986,0.000715986,0.000715986
128,799.222,0.95915,1.06996,0.00136,0.46633,0.55013,0.51794,0.40855,0.80589,1.33677,0.00136,0.000710327,0.000710327,0.000710327
129,802.617,0.94309,1.13009,0.00137,0.46633,0.55013,0.51794,0.40855,0.80589,1.33677,0.00136,0.000704668,0.000704668,0.000704668
130,807.423,1.00982,0.99111,0.00129,0.44237,0.49104,0.52902,0.41214,0.80048,1.28921,0.00142,0.00069901,0.00069901,0.00069901
131,810.775,0.93655,1.07263,0.00139,0.44237,0.49104,0.52902,0.41214,0.80048,1.28921,0.00142,0.000693351,0.000693351,0.000693351
132,814.717,0.97855,0.95792,0.00127,0.51368,0.45557,0.5378,0.42537,0.79623,1.24731,0.00139,0.000687692,0.000687692,0.000687692
133,818.179,1.03686,0.95207,0.00122,0.51368,0.45557,0.5378,0.42537,0.79623,1.24731,0.00139,0.000682033,0.000682033,0.000682033
134,822.359,1.01778,0.90343,0.00116,0.51997,0.43532,0.54529,0.43457,0.78812,1.24593,0.0014,0.000676374,0.000676374,0.000676374
135,826.018,0.90789,0.88227,0.00117,0.51997,0.43532,0.54529,0.43457,0.78812,1.24593,0.0014,0.000670715,0.000670715,0.000670715
136,829.203,0.9677,0.9468,0.0012,0.47468,0.65369,0.55289,0.43944,0.78705,1.23942,0.00143,0.000665057,0.000665057,0.000665057
137,833.702,0.99195,0.98136,0.00135,0.47468,0.65369,0.55289,0.43944,0.78705,1.23942,0.00143,0.000659398,0.000659398,0.000659398
138,837.16,1.01305,1.04191,0.00131,0.53011,0.64874,0.56831,0.44989,0.77872,1.23054,0.0014,0.000653739,0.000653739,0.000653739
139,840.686,0.89592,0.99356,0.00124,0.53011,0.64874,0.56831,0.44989,0.77872,1.23054,0.0014,0.00064808,0.00064808,0.00064808
140,844.458,0.90446,0.87287,0.0012,0.65602,0.62744,0.60375,0.48092,0.77835,1.18839,0.00139,0.000642421,0.000642421,0.000642421
141,848.547,0.99099,1.1416,0.00142,0.65602,0.62744,0.60375,0.48092,0.77835,1.18839,0.00139,0.000636762,0.000636762,0.000636762
142,852.77,0.98593,0.85389,0.00122,0.67727,0.63724,0.61586,0.49923,0.76953,1.17164,0.00137,0.000631104,0.000631104,0.000631104
143,855.969,0.85487,0.94039,0.00118,0.67727,0.63724,0.61586,0.49923,0.76953,1.17164,0.00137,0.000625445,0.000625445,0.000625445
144,861.405,0.95533,0.93041,0.00127,0.67629,0.64673,0.61518,0.4895,0.80271,1.18592,0.00138,0.000619786,0.000619786,0.000619786
145,865.043,0.9733,0.88512,0.00113,0.67629,0.64673,0.61518,0.4895,0.80271,1.18592,0.00138,0.000614127,0.000614127,0.000614127
146,868.42,0.92079,0.89031,0.00114,0.65989,0.64625,0.62097,0.49454,0.80594,1.21201,0.00137,0.000608468,0.000608468,0.000608468
147,873.189,0.88722,0.80571,0.00101,0.65989,0.64625,0.62097,0.49454,0.80594,1.21201,0.00137,0.000602809,0.000602809,0.000602809
148,877.064,0.97517,1.03555,0.00128,0.66722,0.62939,0.62035,0.49809,0.78637,1.22295,0.00136,0.000597151,0.000597151,0.000597151
149,880.297,0.91399,0.97204,0.00122,0.66722,0.62939,0.62035,0.49809,0.78637,1.22295,0.00136,0.000591492,0.000591492,0.000591492
150,884.512,0.92898,1.05079,0.00136,0.70418,0.60377,0.6238,0.50007,0.80566,1.22347,0.00144,0.000585833,0.000585833,0.000585833
151,889.091,0.97705,0.83567,0.00129,0.70418,0.60377,0.6238,0.50007,0.80566,1.22347,0.00144,0.000580174,0.000580174,0.000580174
152,892.745,0.96015,0.93129,0.0013,0.7121,0.59057,0.63089,0.50649,0.82403,1.19571,0.00148,0.000574515,0.000574515,0.000574515
153,896.616,0.94565,0.79286,0.00107,0.7121,0.59057,0.63089,0.50649,0.82403,1.19571,0.00148,0.000568856,0.000568856,0.000568856
154,901.253,0.90168,0.89032,0.00122,0.69877,0.60884,0.64734,0.52784,0.79434,1.17724,0.00139,0.000563197,0.000563197,0.000563197
155,904.883,0.84651,0.84911,0.00113,0.69877,0.60884,0.64734,0.52784,0.79434,1.17724,0.00139,0.000557539,0.000557539,0.000557539
156,908.124,0.90045,0.93417,0.00124,0.67195,0.62953,0.64909,0.53108,0.7699,1.17845,0.00134,0.00055188,0.00055188,0.00055188
157,912.022,0.8722,0.9034,0.00117,0.67195,0.62953,0.64909,0.53108,0.7699,1.17845,0.00134,0.000546221,0.000546221,0.000546221
158,915.791,0.82405,0.80938,0.00106,0.67012,0.61201,0.64078,0.52339,0.81287,1.19632,0.00141,0.000540562,0.000540562,0.000540562
159,919.567,1.0187,1.0673,0.00139,0.67012,0.61201,0.64078,0.52339,0.81287,1.19632,0.00141,0.000534903,0.000534903,0.000534903
160,922.867,0.98926,0.8676,0.00138,0.65923,0.6143,0.64229,0.51807,0.83983,1.19509,0.00144,0.000529244,0.000529244,0.000529244
