epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
148,461.078,0.80292,0.82323,0.84173,0.61298,0.81336,0.73276,0.59769,0.83085,0.98089,0.87951,0.000597151,0.000597151,0.000597151
149,463.713,0.85461,0.81461,0.83758,0.61298,0.81336,0.73276,0.59769,0.83085,0.98089,0.87951,0.000591492,0.000591492,0.000591492
150,467.395,0.84363,0.79493,0.85556,0.65233,0.77782,0.67217,0.53355,0.83485,0.98939,0.8764,0.000585833,0.000585833,0.000585833
151,470.386,0.85471,0.72323,0.84999,0.65233,0.77782,0.67217,0.53355,0.83485,0.98939,0.8764,0.000580174,0.000580174,0.000580174
152,473.318,0.86008,0.80079,0.83817,0.69977,0.7426,0.72564,0.54588,0.93751,1.0234,0.89192,0.000574515,0.000574515,0.000574515
153,475.979,0.89907,0.73135,0.83208,0.69977,0.7426,0.72564,0.54588,0.93751,1.0234,0.89192,0.000568856,0.000568856,0.000568856
154,478.722,0.82559,0.70567,0.85091,0.70013,0.68977,0.7197,0.54809,0.9195,1.0371,0.89074,0.000563197,0.000563197,0.000563197
155,481.99,0.82106,0.76554,0.85379,0.70013,0.68977,0.7197,0.54809,0.9195,1.0371,0.89074,0.000557539,0.000557539,0.000557539
156,484.341,0.81545,0.76634,0.85126,0.6629,0.69122,0.7228,0.58623,0.82069,1.02308,0.87543,0.00055188,0.00055188,0.00055188
157,486.715,0.81035,0.77732,0.8429,0.6629,0.69122,0.7228,0.58623,0.82069,1.02308,0.87543,0.000546221,0.000546221,0.000546221
158,489.172,0.77417,0.68678,0.83176,0.66342,0.64328,0.7028,0.57279,0.80388,1.05767,0.87554,0.000540562,0.000540562,0.000540562
159,491.607,0.8348,0.7959,0.84242,0.66342,0.64328,0.7028,0.57279,0.80388,1.05767,0.87554,0.000534903,0.000534903,0.000534903
160,495.337,0.79217,0.68138,0.83471,0.59059,0.71037,0.69789,0.56674,0.85602,1.08363,0.88287,0.000529244,0.000529244,0.000529244
161,497.62,0.75323,0.78983,0.8405,0.59059,0.71037,0.69789,0.56674,0.85602,1.08363,0.88287,0.000523586,0.000523586,0.000523586
162,500.024,0.879,0.81096,0.85358,0.64178,0.68792,0.70255,0.56841,0.84848,1.09526,0.88004,0.000517927,0.000517927,0.000517927
163,502.485,0.84487,0.71441,0.85678,0.64178,0.68792,0.70255,0.56841,0.84848,1.09526,0.88004,0.000512268,0.000512268,0.000512268
164,505.185,0.93702,0.75471,0.83961,0.67606,0.72062,0.712,0.58061,0.83529,1.07817,0.87279,0.000506609,0.000506609,0.000506609
165,508.756,0.81464,0.72069,0.82876,0.67606,0.72062,0.712,0.58061,0.83529,1.07817,0.87279,0.00050095,0.00050095,0.00050095
166,511.147,0.92798,0.78563,0.85758,0.72571,0.71983,0.73724,0.60628,0.82724,1.03503,0.87087,0.000495291,0.000495291,0.000495291
167,513.854,0.85387,0.75284,0.86693,0.72571,0.71983,0.73724,0.60628,0.82724,1.03503,0.87087,0.000489633,0.000489633,0.000489633
168,516.414,0.84648,0.70928,0.83318,0.68565,0.75956,0.70088,0.56854,0.78598,0.98512,0.86799,0.000483974,0.000483974,0.000483974
169,519.101,0.82746,0.70659,0.84146,0.68565,0.75956,0.70088,0.56854,0.78598,0.98512,0.86799,0.000478315,0.000478315,0.000478315
170,522.58,0.77841,0.77144,0.85288,0.62136,0.82999,0.68528,0.55853,0.76767,0.93811,0.8674,0.000472656,0.000472656,0.000472656
171,525.228,0.8854,0.67677,0.83874,0.62136,0.82999,0.68528,0.55853,0.76767,0.93811,0.8674,0.000466997,0.000466997,0.000466997
172,527.906,0.8135,0.66019,0.84289,0.63564,0.83129,0.67977,0.54875,0.78153,0.91047,0.8694,0.000461338,0.000461338,0.000461338
173,530.407,0.7527,0.77391,0.83655,0.63564,0.83129,0.67977,0.54875,0.78153,0.91047,0.8694,0.00045568,0.00045568,0.00045568
174,533.294,0.80126,0.70258,0.85284,0.64125,0.82158,0.68321,0.55109,0.79641,0.9013,0.87141,0.000450021,0.000450021,0.000450021
175,536.581,0.80262,0.6776,0.82474,0.64125,0.82158,0.68321,0.55109,0.79641,0.9013,0.87141,0.000444362,0.000444362,0.000444362
176,539.142,0.80766,0.68395,0.82917,0.63961,0.82894,0.67172,0.53959,0.8351,0.89937,0.8752,0.000438703,0.000438703,0.000438703
177,541.628,0.82265,0.69403,0.83822,0.63961,0.82894,0.67172,0.53959,0.8351,0.89937,0.8752,0.000433044,0.000433044,0.000433044
178,544.342,0.90392,0.7377,0.83894,0.60992,0.83857,0.66354,0.53108,0.82486,0.90367,0.87291,0.000427385,0.000427385,0.000427385
179,547.775,0.89082,0.88976,0.84656,0.60992,0.83857,0.66354,0.53108,0.82486,0.90367,0.87291,0.000421726,0.000421726,0.000421726
180,550.576,0.84169,0.68878,0.83811,0.59776,0.81984,0.64544,0.52207,0.78245,0.92089,0.86885,0.000416068,0.000416068,0.000416068
181,553.145,0.78894,0.70601,0.83578,0.59776,0.81984,0.64544,0.52207,0.78245,0.92089,0.86885,0.000410409,0.000410409,0.000410409
182,555.94,0.82893,0.72331,0.84701,0.527,0.83711,0.62955,0.50414,0.78094,0.9253,0.8688,0.00040475,0.00040475,0.00040475
